"Active","Ativo"
"Generate Discount Coupon","Gerar cupom de desconto"
"Valid Coupon Discount","Validade do cupom de desconto"
"Discount percentage","Porcentagem de desconto"
"Purchase quantity","Quantidade de compra"
"Time without buying","Tempo sem comprar"
"Name","Nome"
"Order quantity","Quantidade de pedidos"
"Last order date","Data da última compra"
"Last promotional email date","Última data de e-mail promocional"
"Total value spent","Valor total gasto"
"Minimum time between email","Tempo mínimo entre email"
"Email sent successfully","Email enviado com sucesso"
"Error: email not sent","Erro: email não enviado"
"Module is not active","Módulo não se encontra ativo"
"None email sent","Nenhum e-mail enviado"
